node,min,q1,median,q3,max,lower_whisker,upper_whisker,count
366801,398.33,405.83,410.0,411.67,484.17,398.33,420.43000000000006,30533.0
22655375,288.33,401.67,408.33,420.0,531.67,374.17500000000007,447.495,197347.0
49964896,407.5,418.33,429.17,438.33,535.0,407.5,468.33,547357.0
58512373,403.33,409.17,410.83,415.0,436.67,403.33,423.745,124365.0
98811351,404.17,410.0,416.67,420.0,474.17,404.17,435.0,272561.0
00366801,396.67,401.67,402.5,404.17,426.67,397.92,407.92,8928.0
0049db0c,408.33,412.5,415.0,420.83,493.33,408.33,433.32499999999993,531154.0
0064a367,406.67,428.33,430.83,556.67,887.5,406.67,749.18,55843.0
0065ef1b,342.5,407.5,410.0,415.83,525.0,395.005,428.32499999999993,135527.0
05c5ef00,405.83,415.0,420.0,491.67,851.67,405.83,606.6750000000001,55843.0
0861be67,395.0,400.0,402.5,419.17,795.0,395.0,447.92500000000007,55843.0
111896c8,350.0,410.0,412.5,415.83,425.83,401.255,424.57499999999993,55843.0
1125a01c,400.0,405.0,405.83,415.0,838.33,400.0,430.0,55843.0
13a6f4c8,409.17,415.0,417.5,425.83,493.33,409.17,442.07499999999993,219839.0
1d247e53,405.0,410.0,410.83,417.5,624.17,405.0,428.75,294877.0
1e64c783,394.17,405.0,465.0,525.0,687.5,394.17,687.5,172113.0
22655375,336.67,402.5,403.33,405.0,422.5,398.75,408.75,21478.0
25fe225b,409.17,416.67,419.17,423.33,514.17,409.17,433.31999999999994,374563.0
28e8b849,347.5,415.0,415.0,420.0,511.67,407.5,427.5,55843.0
2eea5215,342.5,410.0,411.67,420.0,810.83,395.0,435.0,55843.0
2fded806,390.0,395.83,399.17,404.17,493.33,390.0,416.68000000000006,323651.0
366801,396.67,400.83,401.67,404.17,415.83,396.67,409.18000000000006,16382.0
391ea34d,270.83,400.83,405.0,410.0,505.83,387.07499999999993,423.755,391613.0
3d7960e7,413.33,420.0,423.33,427.5,520.83,413.33,438.75,294871.0
417242bc,391.67,395.0,395.83,400.83,518.33,391.67,409.57499999999993,55970.0
43e593b3,395.0,408.33,425.0,425.83,685.83,395.0,452.08,327467.0
46de937b,405.0,410.0,411.67,560.83,837.5,405.0,787.075,55627.0
4786760b,394.17,399.17,400.0,409.17,795.83,394.17,424.17,55843.0
497660f4,356.67,421.67,433.33,784.17,855.0,356.67,855.0,55736.0
49964896,410.83,415.0,420.0,428.33,454.17,410.83,448.32499999999993,8829.0
51244a6f,347.5,415.0,416.67,420.0,512.5,407.5,427.5,135513.0
5433c3e6,336.67,405.0,460.0,720.83,858.33,336.67,858.33,55843.0
54c3811d,403.33,410.0,410.0,415.0,848.33,403.33,422.5,54792.0
58512373,403.33,405.0,407.5,410.0,429.17,403.33,417.5,16007.0
5d7db037,348.33,410.0,411.67,416.67,517.5,399.995,426.67500000000007,286678.0
5e87c22e,397.5,400.83,405.0,411.67,500.83,397.5,427.93000000000006,294841.0
6a1acc69,338.33,405.83,410.0,414.17,504.17,393.31999999999994,426.68000000000006,279123.0
6bb5c698,340.83,405.0,407.5,410.83,552.5,396.255,419.57499999999993,215195.0
6d834fb8,400.0,405.0,406.67,473.33,824.17,400.0,575.8249999999999,55843.0
764b2e98,341.67,410.83,433.33,731.67,860.0,341.67,860.0,55843.0
788b0a71,341.67,406.67,410.83,420.0,630.83,386.67500000000007,439.995,55843.0
7c7d255d,404.17,407.5,410.0,415.0,510.0,404.17,426.25,55843.0
7da5db71,355.0,405.0,421.67,425.0,651.67,375.0,455.0,215191.0
7f4f3762,337.5,396.67,400.0,402.5,496.67,387.92500000000007,411.245,249690.0
82415d68,350.83,420.83,423.33,430.83,447.5,405.83,445.83,478991.0
85c6cd05,342.5,412.5,438.33,460.83,575.0,342.5,533.3249999999999,533935.0
85ebbabd,395.0,400.0,426.67,441.67,679.17,395.0,504.17500000000007,332016.0
8621bb59,409.17,415.0,416.67,420.83,476.67,409.17,429.57499999999993,55843.0
88b02143,410.0,415.0,418.33,432.5,880.0,410.0,458.75,58605.0
8bab4dff,391.67,402.5,405.83,419.17,671.67,391.67,444.17500000000007,332006.0
8d2843f5,404.17,435.83,456.67,468.33,555.83,404.17,517.0799999999999,500952.0
98811351,403.33,410.0,410.0,410.83,447.5,408.755,412.07499999999993,26543.0
a22bdd7c,336.67,400.83,403.33,409.17,479.17,388.31999999999994,421.68000000000006,95681.0
a26788f6,329.17,400.0,403.33,405.83,505.0,391.255,414.57499999999993,303276.0
a4ec376f,415.0,420.0,425.83,471.67,834.17,415.0,549.1750000000001,55537.0
a57bfdd7,398.33,407.5,410.0,420.0,852.5,398.33,438.75,55782.0
b1b36b26,395.83,402.5,405.0,413.33,855.0,395.83,429.57499999999993,55843.0
b6002837,344.17,406.67,410.0,422.5,510.0,382.92500000000007,446.245,383677.0
b88cae4d,393.33,400.0,404.17,414.17,472.5,393.33,435.42500000000007,55843.0
bb37a269,340.83,413.33,415.0,420.0,529.17,403.32499999999993,430.005,455655.0
cbf4a974,401.67,408.33,442.5,756.25,825.0,401.67,825.0,55843.0
ce52f982,395.83,400.83,404.17,407.5,497.5,395.83,417.505,135515.0
d424b38d,395.83,402.5,405.0,410.0,465.0,395.83,421.25,296115.0
d7ea95c2,405.0,410.0,412.5,420.83,796.67,405.0,437.07499999999993,55186.0
de50c1fe,340.83,409.17,410.0,415.83,484.17,399.18000000000006,425.81999999999994,258050.0
e2b6ed0e,403.33,437.5,530.0,565.0,715.0,403.33,715.0,215191.0
e41df102,406.67,411.67,415.0,419.17,514.17,406.67,430.42,207022.0
e4362c19,295.83,426.67,432.5,440.0,509.17,406.67500000000007,459.995,926030.0
e998d442,270.0,405.0,407.5,415.83,503.33,388.755,432.07499999999993,55843.0
ea7f6999,341.67,409.17,410.0,413.33,510.0,402.93000000000006,419.56999999999994,55843.0
fd5a1b56,415.0,421.67,424.17,428.33,505.83,415.0,438.31999999999994,135525.0
