cluster,node_name,cpu_cat,eff_class,count
0,0ad2c0c4,idle,moderate,34437
0,2dbc131e,high,efficient,4109
0,2dbc131e,low,efficient,1314
0,2dbc131e,low,moderate,1785
0,2dbc131e,medium,efficient,5524
0,2dbc131e,very_high,efficient,5061
0,341872a6,high,efficient,6024
0,341872a6,low,efficient,5245
0,341872a6,low,moderate,517
0,341872a6,medium,efficient,5590
0,341872a6,very_high,efficient,5352
0,41721e4b,idle,moderate,34434
0,5180b174,high,efficient,6906
0,5180b174,low,efficient,1183
0,5180b174,low,moderate,720
0,5180b174,medium,efficient,6812
0,5180b174,very_high,efficient,6101
0,5333662e,high,efficient,4267
0,5333662e,idle,moderate,5
0,5333662e,low,efficient,4208
0,5333662e,low,moderate,6000
0,5333662e,medium,efficient,6049
0,5333662e,very_high,efficient,3467
0,5ede733f,idle,moderate,34993
0,6fdf4d0d,idle,inefficient,2379
0,6fdf4d0d,idle,moderate,20369
0,6fdf4d0d,low,efficient,79
0,6fdf4d0d,low,inefficient,37
0,6fdf4d0d,low,moderate,26
0,6fdf4d0d,very_high,inefficient,2790
0,8674a4f2,high,efficient,5388
0,8674a4f2,low,efficient,757
0,8674a4f2,low,moderate,34
0,8674a4f2,medium,efficient,5090
0,8674a4f2,very_high,efficient,6120
0,8ccd7b3c,high,efficient,1766
0,8ccd7b3c,low,efficient,153
0,8ccd7b3c,medium,efficient,1278
0,8ccd7b3c,very_high,efficient,4308
0,8d5a6c7e,idle,moderate,20178
0,8d5a6c7e,low,efficient,4
0,8d5a6c7e,medium,efficient,1
0,a2ffa1e3,idle,moderate,34992
0,b9c737a2,idle,moderate,28184
0,b9c737a2,low,moderate,132
0,b9c737a2,medium,efficient,3
0,b9c737a2,very_high,inefficient,7070
0,bce59923,idle,moderate,17435
0,bce59923,low,efficient,23
0,bce59923,low,moderate,292
0,bce59923,medium,efficient,1
0,bce59923,very_high,inefficient,7071
0,bd55f82d,idle,moderate,34993
0,c658b44f,idle,inefficient,9
0,c658b44f,idle,moderate,31404
0,c658b44f,low,efficient,97
0,c658b44f,low,moderate,361
0,e5886d85,high,efficient,5973
0,e5886d85,low,efficient,1663
0,e5886d85,low,moderate,233
0,e5886d85,medium,efficient,5775
0,e5886d85,very_high,efficient,5484
0,eb5d8f42,idle,inefficient,8
0,eb5d8f42,very_high,inefficient,21596
0,f006f6ea,idle,inefficient,1742
0,f006f6ea,idle,moderate,22948
0,f006f6ea,low,efficient,16
0,f006f6ea,low,inefficient,1
0,f006f6ea,low,moderate,21
0,f006f6ea,medium,efficient,1
0,f006f6ea,very_high,inefficient,7070
0,f301a5e3,idle,inefficient,4809
0,f301a5e3,idle,moderate,328
1,0ad2c0c4,very_high,inefficient,7634
1,2dbc131e,idle,inefficient,4
1,2dbc131e,idle,moderate,22303
1,2dbc131e,low,efficient,146
1,2dbc131e,low,moderate,437
1,2dbc131e,medium,efficient,5
1,2dbc131e,very_high,inefficient,7070
1,341872a6,idle,moderate,12248
1,341872a6,low,efficient,3
1,341872a6,low,moderate,26
1,341872a6,very_high,inefficient,7070
1,41721e4b,very_high,inefficient,7634
1,5180b174,idle,moderate,13126
1,5180b174,low,efficient,3
1,5180b174,low,moderate,144
1,5180b174,medium,efficient,3
1,5180b174,very_high,inefficient,7071
1,5333662e,idle,efficient,1
1,5333662e,idle,inefficient,1449
1,5333662e,idle,moderate,20393
1,5333662e,low,efficient,8
1,5333662e,low,moderate,130
1,5333662e,medium,efficient,4
1,5333662e,very_high,inefficient,2792
1,5ede733f,very_high,inefficient,7070
1,6fdf4d0d,high,efficient,13
1,6fdf4d0d,high,inefficient,5466
1,6fdf4d0d,low,efficient,2440
1,6fdf4d0d,low,inefficient,2063
1,6fdf4d0d,low,moderate,762
1,6fdf4d0d,medium,efficient,1299
1,6fdf4d0d,medium,inefficient,2570
1,6fdf4d0d,very_high,efficient,32
1,6fdf4d0d,very_high,inefficient,5875
1,8674a4f2,idle,efficient,6
1,8674a4f2,idle,moderate,17186
1,8674a4f2,low,efficient,50
1,8674a4f2,low,moderate,410
1,8674a4f2,medium,efficient,1
1,8674a4f2,very_high,inefficient,7071
1,8ccd7b3c,high,efficient,5915
1,8ccd7b3c,low,efficient,2505
1,8ccd7b3c,low,moderate,277
1,8ccd7b3c,medium,efficient,6930
1,8ccd7b3c,very_high,efficient,6357
1,8d5a6c7e,high,efficient,1864
1,8d5a6c7e,low,efficient,30
1,8d5a6c7e,medium,efficient,1447
1,8d5a6c7e,very_high,efficient,4228
1,a2ffa1e3,very_high,inefficient,7070
1,b9c737a2,high,efficient,3975
1,b9c737a2,low,efficient,88
1,b9c737a2,low,moderate,1
1,b9c737a2,medium,efficient,1844
1,b9c737a2,very_high,efficient,10046
1,bce59923,high,efficient,5134
1,bce59923,low,efficient,1878
1,bce59923,low,moderate,358
1,bce59923,medium,efficient,5469
1,bce59923,very_high,efficient,4412
1,bd55f82d,very_high,inefficient,7071
1,c658b44f,high,efficient,4645
1,c658b44f,low,efficient,831
1,c658b44f,low,moderate,2
1,c658b44f,medium,efficient,4888
1,c658b44f,very_high,efficient,8772
1,e5886d85,high,efficient,1
1,e5886d85,idle,inefficient,8
1,e5886d85,idle,moderate,18082
1,e5886d85,low,efficient,16
1,e5886d85,low,moderate,309
1,e5886d85,medium,efficient,5
1,e5886d85,very_high,inefficient,7632
1,eb5d8f42,idle,moderate,20629
1,f006f6ea,high,efficient,3218
1,f006f6ea,idle,moderate,1
1,f006f6ea,low,efficient,5554
1,f006f6ea,low,moderate,1457
1,f006f6ea,medium,efficient,4574
1,f006f6ea,very_high,efficient,3255
1,f301a5e3,idle,inefficient,7895
1,f301a5e3,idle,moderate,1491
2,0ad2c0c4,idle,inefficient,9958
2,0ad2c0c4,idle,moderate,6051
2,2dbc131e,high,efficient,3038
2,2dbc131e,low,efficient,196
2,2dbc131e,low,moderate,86
2,2dbc131e,medium,efficient,1568
2,2dbc131e,very_high,efficient,5434
2,341872a6,high,efficient,3915
2,341872a6,low,efficient,117
2,341872a6,low,moderate,1
2,341872a6,medium,efficient,2140
2,341872a6,very_high,efficient,9832
2,41721e4b,idle,inefficient,12611
2,41721e4b,idle,moderate,3401
2,5180b174,high,efficient,4566
2,5180b174,low,efficient,133
2,5180b174,low,moderate,26
2,5180b174,medium,efficient,2412
2,5180b174,very_high,efficient,8874
2,5333662e,high,efficient,3323
2,5333662e,low,efficient,14
2,5333662e,low,moderate,14
2,5333662e,medium,efficient,1229
2,5333662e,very_high,efficient,4727
2,5ede733f,idle,inefficient,12537
2,5ede733f,idle,moderate,3480
2,6fdf4d0d,high,efficient,3788
2,6fdf4d0d,low,efficient,490
2,6fdf4d0d,low,moderate,62
2,6fdf4d0d,medium,efficient,1256
2,6fdf4d0d,very_high,efficient,6284
2,8674a4f2,high,efficient,4000
2,8674a4f2,low,efficient,71
2,8674a4f2,low,moderate,6
2,8674a4f2,medium,efficient,1907
2,8674a4f2,very_high,efficient,9983
2,8ccd7b3c,idle,efficient,2
2,8ccd7b3c,idle,inefficient,1668
2,8ccd7b3c,idle,moderate,19059
2,8ccd7b3c,low,efficient,13
2,8ccd7b3c,low,moderate,213
2,8ccd7b3c,medium,efficient,3
2,8ccd7b3c,very_high,inefficient,7633
2,8d5a6c7e,idle,inefficient,1652
2,8d5a6c7e,idle,moderate,21043
2,8d5a6c7e,low,efficient,1
2,8d5a6c7e,very_high,inefficient,7632
2,a2ffa1e3,idle,inefficient,12028
2,a2ffa1e3,idle,moderate,3990
2,b9c737a2,high,efficient,1245
2,b9c737a2,low,efficient,483
2,b9c737a2,low,moderate,147
2,b9c737a2,medium,efficient,3496
2,b9c737a2,very_high,efficient,1366
2,bce59923,high,efficient,4134
2,bce59923,low,efficient,43
2,bce59923,medium,efficient,1594
2,bce59923,very_high,efficient,10236
2,bd55f82d,idle,inefficient,13586
2,bd55f82d,idle,moderate,2430
2,c658b44f,idle,inefficient,1
2,c658b44f,very_high,inefficient,7070
2,e5886d85,high,efficient,2749
2,e5886d85,low,efficient,224
2,e5886d85,low,moderate,2
2,e5886d85,medium,efficient,1767
2,e5886d85,very_high,efficient,8157
2,eb5d8f42,idle,inefficient,10331
2,eb5d8f42,idle,moderate,5514
2,eb5d8f42,very_high,inefficient,2
2,f006f6ea,high,efficient,1849
2,f006f6ea,low,efficient,77
2,f006f6ea,low,moderate,1
2,f006f6ea,medium,efficient,1805
2,f006f6ea,very_high,efficient,4490
2,f301a5e3,idle,inefficient,1965
2,f301a5e3,idle,moderate,86
